"CATEGORY","DETAIL_VALUE","VALUE1","VALUE2","VALUE3","REGISTER_ID","REGISTER_DATE","UPDATE_ID","UPDATE_DATE"
"001",AN_IMG,"",,,SYSTEM,2019-12-02 16:00:00,SYSTEM,2019-12-02 16:00:00
"001",AN_MOV,"",,,SYSTEM,2019-12-02 16:00:00,SYSTEM,2019-12-02 16:00:00
