"SITE","MAINT_CONTENTS_CODE","MAINT_CONTENTS","REGISTER_ID","REGISTER_DATE","UPDATE_ID","UPDATE_DATE"
SHDI,1,整備,SYSTEM,2019-12-02 16:00:00,SYSTEM,2019-12-02 16:00:00
SHDI,2,中日対応,SYSTEM,2019-12-02 16:00:00,SYSTEM,2019-12-02 16:00:00
