,x,y,length,width,area
482,361,861,1,1,1
483,436,860,1,2,2
484,438,860,3,2,4
485,687,860,1,1,1
486,690,860,3,1,3
487,1550,860,2,1,2
488,1780,860,1,1,1
489,1784,860,1,1,1
490,424,863,1,1,1
491,430,862,2,1,2
492,1559,863,2,1,2
493,1563,863,2,1,2
494,1570,862,1,1,1
495,1568,863,5,2,5
496,1574,863,1,1,1
497,1792,862,5,4,9
498,1799,863,2,1,2
499,548,864,1,1,1
500,660,864,1,1,1
501,663,864,1,1,1
502,682,864,2,1,2
503,1551,864,1,1,1
504,1554,864,1,1,1
505,1556,864,1,1,1
506,1558,865,2,1,2
507,1580,864,4,4,7
508,1803,865,1,2,2
509,320,867,1,1,1
510,332,866,1,1,1
511,336,867,1,1,1
512,412,866,1,1,1
513,644,866,1,1,1
514,1589,867,1,1,1
515,625,868,2,1,2
516,628,868,3,1,3
517,1591,868,1,1,1
518,1595,868,1,2,2
519,1811,868,1,1,1
520,1814,868,1,1,1
521,320,871,1,1,1
522,391,871,1,1,1
523,1625,871,1,1,1
524,297,873,2,1,2
525,599,872,1,1,1
526,608,872,1,1,1
527,614,873,2,1,2
528,1832,872,2,2,2
529,1828,875,1,1,1
530,355,876,1,1,1
531,576,876,1,1,1
532,1848,876,1,1,1
533,344,879,1,1,1
534,1653,879,1,1,1
535,1848,878,1,1,1
536,1850,879,1,1,1
537,332,881,2,1,2
538,335,881,1,1,1
539,1655,880,1,1,1
540,324,883,1,2,2
541,332,883,4,3,7
542,516,885,2,1,2
543,519,884,5,1,5
544,527,884,1,1,1
545,1683,885,1,1,1
546,314,887,3,3,4
547,318,886,2,2,4
548,322,886,2,1,2
549,326,887,2,1,2
550,506,887,2,2,2
551,516,887,1,1,1
552,1874,886,1,1,1
553,501,889,1,1,1
554,1871,888,1,1,1
555,1880,888,1,1,1
556,312,891,1,1,1
557,315,891,1,1,1
558,1872,890,1,1,1
559,473,892,2,1,2
560,485,892,1,1,1
561,1888,892,1,1,1
562,1896,893,1,1,1
563,274,895,2,1,2
564,280,894,4,1,4
565,285,895,1,1,1
566,287,894,2,3,3
567,470,895,1,1,1
568,278,896,1,1,1
569,462,896,1,1,1
570,476,896,2,1,2
571,481,896,1,1,1
572,1732,896,1,1,1
573,1904,896,1,1,1
574,276,899,1,1,1
575,287,899,1,1,1
576,451,899,1,1,1
577,1914,899,1,1,1
578,263,900,1,1,1
579,447,900,1,1,1
580,248,903,1,1,1
581,253,902,1,1,1
582,428,903,4,2,5
583,1913,902,1,1,1
584,249,905,4,2,4
585,256,904,1,1,1
586,259,904,1,1,1
587,261,904,3,1,3
588,1916,904,4,3,11
589,238,907,2,2,2
